trial,WSLS_choice,feedback,true_noise,true_win_stay,true_lose_shift,opponent_choices,cumulative_rate_WSLS,cumulative_rate_opponent
17,0,1,0,0.3,0.7,0,0.4117647058823529,0.6470588235294118
18,0,1,0,0.3,0.7,0,0.3888888888888889,0.6111111111111112
19,1,0,0,0.3,0.7,0,0.42105263157894735,0.5789473684210527
20,0,1,0,0.3,0.7,0,0.4,0.55
21,0,1,0,0.3,0.7,0,0.38095238095238093,0.5238095238095238
22,0,1,0,0.3,0.7,0,0.36363636363636365,0.5
23,0,1,0,0.3,0.7,0,0.34782608695652173,0.4782608695652174
24,0,1,0,0.3,0.7,0,0.3333333333333333,0.4583333333333333
25,0,1,0,0.3,0.7,0,0.32,0.44
26,0,0,0,0.3,0.7,1,0.3076923076923077,0.46153846153846156
27,1,1,0,0.3,0.7,1,0.3333333333333333,0.48148148148148145
28,1,1,0,0.3,0.7,1,0.35714285714285715,0.5
29,0,0,0,0.3,0.7,1,0.3448275862068966,0.5172413793103449
30,0,1,0,0.3,0.7,0,0.3333333333333333,0.5
31,1,0,0,0.3,0.7,0,0.3548387096774194,0.4838709677419355
32,1,0,0,0.3,0.7,0,0.375,0.46875
33,1,0,0,0.3,0.7,0,0.3939393939393939,0.45454545454545453
34,0,0,0,0.3,0.7,1,0.38235294117647056,0.47058823529411764
35,1,0,0,0.3,0.7,0,0.4,0.45714285714285713
36,1,1,0,0.3,0.7,1,0.4166666666666667,0.4722222222222222
37,0,1,0,0.3,0.7,0,0.40540540540540543,0.4594594594594595
38,1,0,0,0.3,0.7,0,0.42105263157894735,0.4473684210526316
39,0,0,0,0.3,0.7,1,0.41025641025641024,0.46153846153846156
40,1,1,0,0.3,0.7,1,0.425,0.475
41,0,0,0,0.3,0.7,1,0.4146341463414634,0.4878048780487805
42,1,1,0,0.3,0.7,1,0.42857142857142855,0.5
43,0,1,0,0.3,0.7,0,0.4186046511627907,0.4883720930232558
44,1,1,0,0.3,0.7,1,0.4318181818181818,0.5
45,0,1,0,0.3,0.7,0,0.4222222222222222,0.4888888888888889
46,0,0,0,0.3,0.7,1,0.41304347826086957,0.5
47,0,0,0,0.3,0.7,1,0.40425531914893614,0.5106382978723404
48,1,0,0,0.3,0.7,0,0.4166666666666667,0.5
49,0,1,0,0.3,0.7,0,0.40816326530612246,0.4897959183673469
50,1,1,0,0.3,0.7,1,0.42,0.5
51,0,1,0,0.3,0.7,0,0.4117647058823529,0.49019607843137253
52,1,0,0,0.3,0.7,0,0.4230769230769231,0.4807692307692308
53,1,1,0,0.3,0.7,1,0.4339622641509434,0.49056603773584906
54,1,1,0,0.3,0.7,1,0.4444444444444444,0.5
55,0,1,0,0.3,0.7,0,0.43636363636363634,0.4909090909090909
56,1,1,0,0.3,0.7,1,0.44642857142857145,0.5
57,0,1,0,0.3,0.7,0,0.43859649122807015,0.49122807017543857
58,1,1,0,0.3,0.7,1,0.4482758620689655,0.5
59,1,0,0,0.3,0.7,0,0.4576271186440678,0.4915254237288136
60,0,0,0,0.3,0.7,1,0.45,0.5
61,1,1,0,0.3,0.7,1,0.45901639344262296,0.5081967213114754
62,0,1,0,0.3,0.7,0,0.45161290322580644,0.5
63,1,0,0,0.3,0.7,0,0.4603174603174603,0.49206349206349204
64,0,1,0,0.3,0.7,0,0.453125,0.484375
65,1,0,0,0.3,0.7,0,0.46153846153846156,0.47692307692307695
66,0,0,0,0.3,0.7,1,0.45454545454545453,0.48484848484848486
67,1,0,0,0.3,0.7,0,0.4626865671641791,0.47761194029850745
68,0,0,0,0.3,0.7,1,0.45588235294117646,0.4852941176470588
69,1,0,0,0.3,0.7,0,0.463768115942029,0.4782608695652174
70,0,0,0,0.3,0.7,1,0.45714285714285713,0.4857142857142857
71,1,0,0,0.3,0.7,0,0.4647887323943662,0.4788732394366197
72,1,1,0,0.3,0.7,1,0.4722222222222222,0.4861111111111111
73,0,1,0,0.3,0.7,0,0.4657534246575342,0.4794520547945205
74,1,1,0,0.3,0.7,1,0.47297297297297297,0.4864864864864865
75,1,0,0,0.3,0.7,0,0.48,0.48
76,0,0,0,0.3,0.7,1,0.47368421052631576,0.4868421052631579
77,1,0,0,0.3,0.7,0,0.4805194805194805,0.4805194805194805
78,1,0,0,0.3,0.7,0,0.48717948717948717,0.47435897435897434
79,1,0,0,0.3,0.7,0,0.4936708860759494,0.46835443037974683
80,0,0,0,0.3,0.7,1,0.4875,0.475
